Countrygp,Country,CO2,GNIPCAP,Immun,LIFEXP,MALNUT,INFMORT,UND5MORT,POV,FMTED,FMPED,FMSED
2,Namibia,0.922558486,1870,69,52.27541351,24,50,69,,,101.8257675,113.8196869
1,Nepal,0.139177486,220,71,60.52609634,,69,95,,39.69731903,79.08488464,71.44091034
5,Netherlands Antilles,32.2054863,,,75.70907593,,,,,124.6873856,94.54377747,110.1642227
5,Netherlands,8.780477524,25200,96,77.98780823,,4.599999905,6.199999809,,104.1591415,97.85023499,95.95211029
1,New Caledonia,8.471762657,14020,,73.46829224,,,,,,,
5,New Zealand,8.566872597,13680,85,78.63658905,,5.889999866,8,,144.6265411,100.8094559,106.5667343
3,Nicaragua,0.752954066,750,86,68.86511993,,34,43,,,100.9308395,117.8567123
2,Nigeria,0.397249669,280,35,43.78263474,,107,207,,,81.60140991,
2,Niger,0.10044419,160,34,43.6031723,40.09999847,159,270,,,68.78780365,67.24301147
,Northern Mariana Isl,,,,,,,,,,,
5,Norway,10.19327927,35660,92,78.60390472,,3.799999952,4.800000191,,145.9035339,100.2421112,102.459137
4,Oman,9.782670021,6610,99,73.55814362,,12,14.5,,158.6181946,96.9055481,99.40289307
1,Pakistan,0.763474882,480,56,62.96292496,,85,108,,,67.97621155,
,Palau,,,83,,,24,29,,235.4909515,96.81863403,103.4452286
3,Panama,2.140062094,3740,97,74.3563385,,20,25.5,7.199999809,169.3902435,96.87773895,106.1949768
1,Papua New Guinea,0.457752198,650,68,54.66307449,,70,95,,,90.48421478,78.78281403
3,Paraguay,0.665128112,1460,92,70.35287476,,23,27,,135.9510651,96.31822205,103.378891
3,Peru,1.098260045,2050,97,69.21873474,7.099999905,33,42,18.06999969,,99.26385498,93.1940918
1,Philippines,1.028748035,1040,81,69.529953,,30,40,15.47999954,,,
6,Poland,7.785810471,4540,97,73.7487793,,8.100000381,9.199999809,,140.8747406,98.56124878,98.05686188
5,Portugal,5.866597176,10940,87,76.51707458,,5.5,7.699999809,,133.9784698,95.96688843,106.8212357
3,Puerto Rico,2.434088945,10560,,76.07902527,,,,,,,
4,Qatar,52.8021965,,91,72.96258545,,19,22.5,,,97.49638367,102.5675507
6,Romania,3.844400167,1700,98,71.06585693,3.200000048,18.70000076,22.29999924,2.140000105,112.3776016,98.19360352,101.5056076
